study_doi;study_author_1;study_year;study_journal;virus_family;virus;strain;material;medium;medium_group;medium_include;medium_volume;medium_container;sealed;virus_concentration_initial;temperature_raw;temperature;humidity_raw;humidity;time;value;value_raw;error_low;error_up;estimate;error;sample_size;unit;LOD;titration_unit;comment_data;source;comment_study
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;56;56;NA;NA;12;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;56;56;NA;NA;24;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;56;56;NA;NA;48;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;56;56;NA;NA;96;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;56;56;NA;NA;238;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;56;56;NA;NA;336;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;56;56;NA;NA;0;6.8;6.8;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Text;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;0.016666667;5.34;5.34;5.17;5.51;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;0.083333333;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;0.166666667;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;0.5;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;1;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;3;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;6;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;12;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;24;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;48;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;96;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;238;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;336;<LOD;2;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Supplementary table;also report data on various surfaces for one condition only
10.1016/S2666-5247(20)30003-3;Chin;2020;The Lancet Microbe;Coronavirus;SARS-CoV-2;SARS-CoV-2_Unspecified;Bulk medium;VTM;VTM;TRUE;Unspecified;Unspecified;Unspecified;6.8 log10TCID50/mL;70;70;NA;NA;0;6.8;6.8;NA;NA;mean;standard_deviation;3;log10TCID50/mL;2 log10TCID50/mL;TCID50;NA;Text;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;0;5.505;5.505;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;3;5.495;5.495;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;6;5;5;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;24;4.009;4.009;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;72;4;4;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;96;4;4;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;120;3.739;3.739;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;168;3.739;3.739;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;240;3.495;3.495;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;264;3.009;3.009;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;288;3.243;3.243;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;336;2.514;2.514;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;432;2.243;2.243;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;456;3;3;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;480;2.523;2.523;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;504;1.748;1.748;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;576;2.495;2.495;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;4;4;NA;NA;648;1.514;1.514;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;0;5.009;5.009;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;3;5;5;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;6;5;5;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;24;3.739;3.739;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;72;2.748;2.748;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;96;2.505;2.505;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;120;1.243;1.243;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1086/433186;Lai;2005;Clinical Infectious Diseases;Coronavirus;SARS-CoV-1;SARS-CoV-1_GVU6109;Bulk medium;10% MEM + 90% Nasopharyngeal sample;Resp. sec.;TRUE;3000;Unspecified;Closed;6 log10TCID50/mL;20;20;NA;NA;168;0.739;0.739;NA;NA;individual_datapoint?;NA;1?;log10TCID50/0.05mL;Unspecified;TCID50;no replicate?;Figure 2;also report data on various surfaces for one condition only
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;31;31;NA;NA;0;0;0;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;31;31;NA;NA;36;-0.302;-0.302;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;31;31;NA;NA;59;-0.508;-0.508;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;31;31;NA;NA;79;-0.764;-0.764;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;35;35;NA;NA;0;0;0;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;35;35;NA;NA;36;-0.678;-0.678;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;35;35;NA;NA;59;-1.052;-1.052;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;35;35;NA;NA;80;-1.269;-1.269;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;39;39;NA;NA;0;0;0;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;39;39;NA;NA;21;-0.748;-0.748;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;39;39;NA;NA;36;-1.403;-1.403;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;39;39;NA;NA;60;-2.605;-2.605;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;39;39;NA;NA;80;-3.094;-3.094;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;43;43;NA;NA;0;0;0;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;43;43;NA;NA;7;-0.431;-0.431;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;43;43;NA;NA;12;-1.015;-1.015;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;43;43;NA;NA;21;-1.538;-1.538;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;43;43;NA;NA;30;-2.5;-2.5;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
10.1099/0022-1317-56-2-235;Laude;1981;The Journal of General Virology;Coronavirus;TGEV;TGEV_D52;Bulk medium;HEPES + 10% MEM + 0.2% FCS at pH 7;CCM;TRUE;1000;Glass vial;Unspecified;Unspecified;43;43;NA;NA;50;-3.83;-3.83;NA;NA;individual_datapoint?;NA;2;log10Nt/N0;Unspecified;PFU;pH = 7;Figure 1;NA
